Abundance|10E=169
Paladin en-Vec (1)|10E=149
Paladin en-Vec (2)|10E=33
Pariah (1)|10E=500
Pariah (2)|10E=320
Peek|10E=33
Persuasion (1)|10E=102
Persuasion (2)|10E=39
Phage the Untouchable|10E=825
Phantom Warrior|10E=12
Phyrexian Rager|10E=12
Phyrexian Vault|10E=24
Pincher Beetles (1)|10E=50
Pincher Beetles (2)|10E=25
Pithing Needle|10E=128
Plagiarize|10E=30
Plague Beetle (1)|10E=7
Plague Beetle (2)|10E=18
Plague Wind|10E=246
Plains (1)|10E=26
Plains (2)|10E=31
Plains (3)|10E=24
Plains (4)|10E=49
Platinum Angel (1)|10E=643
Platinum Angel (2)|10E=1200
Primal Rage (1)|10E=2085
Primal Rage (2)|10E=330
Prodigal Pyromancer|10E=15
Puppeteer|10E=36
Pyroclasm|10E=37
Quicksand|10E=26
Quirion Dryad|10E=25
Rage Weaver (1)|10E=10
Rage Weaver (2)|10E=35
Raging Goblin (1)|10E=12
Raging Goblin (2)|10E=90
Rain of Tears|10E=23
Rampant Growth|10E=40
Ravenous Rats|10E=12
Razormane Masticore (1)|10E=27
Razormane Masticore (2)|10E=111
Recollect|10E=25
Recover|10E=20
Regeneration (1)|10E=20
Regeneration (2)|10E=85
Relentless Assault|10E=534
Relentless Rats|10E=264
Reminisce|10E=34
Remove Soul|10E=16
Reviving Dose|10E=2
Reya Dawnbringer (1)|10E=416
Reya Dawnbringer (2)|10E=356
Rhox (1)|10E=60
Rhox (2)|10E=149
Righteousness|10E=20
Robe of Mirrors (1)|10E=396
Robe of Mirrors (2)|10E=27
Rock Badger (1)|10E=64
Rock Badger (2)|10E=7
Rod of Ruin|10E=5
Root Maze|10E=498
Rootwalla|10E=4
Rootwater Commando (1)|10E=5
Rootwater Commando (2)|10E=26
Rootwater Matriarch|10E=41
Royal Assassin|10E=122
Rule of Law|10E=56
Rushwood Dryad (1)|10E=49
Rushwood Dryad (2)|10E=14
Sage Owl (1)|10E=26
Sage Owl (2)|10E=50
Samite Healer|10E=2
Scalpelexis (1)|10E=20
Scalpelexis (2)|10E=112
Scathe Zombies|10E=9
Scion of the Wild|10E=44
Scoria Wurm|10E=40
Sculpting Steel|10E=87
Sea Monster|10E=22
Seedborn Muse|10E=1138
Seismic Assault|10E=99
Sengir Vampire (1)|10E=22
Sengir Vampire (2)|10E=148
Serra Angel (1)|10E=12862
Serra Angel (2)|10E=49
Serra's Embrace (1)|10E=12
Serra's Embrace (2)|10E=102
Severed Legion (1)|10E=23
Severed Legion (2)|10E=7
Shatterstorm|10E=30
Shimmering Wings (1)|10E=24
Shimmering Wings (2)|10E=75
Shivan Dragon (1)|10E=38
Shivan Dragon (2)|10E=2000
Shivan Hellkite (1)|10E=25
Shivan Hellkite (2)|10E=559
Shivan Reef|10E=293
Shock|10E=7
Shunt|10E=72
Siege-Gang Commander|10E=90
Sift|10E=7
Sky Weaver (1)|10E=9
Sky Weaver (2)|10E=49
Skyhunter Patrol (1)|10E=7
Skyhunter Patrol (2)|10E=56
Skyhunter Prowler (1)|10E=9
Skyhunter Prowler (2)|10E=33
Skyhunter Skirmisher (1)|10E=62
Skyhunter Skirmisher (2)|10E=22
Skyshroud Ranger|10E=397
Sleeper Agent|10E=173
Smash|10E=14
Snapping Drake (1)|10E=12
Snapping Drake (2)|10E=40
Soul Feast|10E=13
Soul Warden|10E=256
Soulblast|10E=46
Spark Elemental (1)|10E=32
Spark Elemental (2)|10E=126
Spawning Pool (1)|10E=241
Spawning Pool (2)|10E=34
Spellbook|10E=138
Spiketail Hatchling (1)|10E=91
Spiketail Hatchling (2)|10E=34
Spined Wurm|10E=10
Spineless Thug|10E=5
Spirit Link (1)|10E=208
Spirit Link (2)|10E=39
Spirit Weaver|10E=12
Spitting Earth|10E=9
Squee, Goblin Nabob|10E=139
Stalking Tiger|10E=8
Stampeding Wildebeests (1)|10E=90
Stampeding Wildebeests (2)|10E=16
Starlight Invoker|10E=24
Steadfast Guard (1)|10E=44
Steadfast Guard (2)|10E=17
Steel Golem|10E=145
Story Circle|10E=75
Stronghold Discipline|10E=12
Stun|10E=31
Sudden Impact|10E=11
Sulfurous Springs|10E=588
Sunken Hope|10E=26
Suntail Hawk (1)|10E=48
Suntail Hawk (2)|10E=21
Swamp (1)|10E=48
Swamp (2)|10E=31
Swamp (3)|10E=31
Swamp (4)|10E=50
Sylvan Basilisk|10E=32
Sylvan Scrying|10E=95
Tangle Spider (1)|10E=40
Tangle Spider (2)|10E=20
Telepathy|10E=41
Telling Time|10E=35
Tempest of Light|10E=18
Terramorphic Expanse|10E=17
Terror|10E=23
The Hive (1)|10E=23
The Hive (2)|10E=139
Thieving Magpie (1)|10E=48
Thieving Magpie (2)|10E=18
Threaten (1)|10E=135
Threaten (2)|10E=37
Thrull Surgeon|10E=20
Thundering Giant (1)|10E=20
Thundering Giant (2)|10E=25
Tidings|10E=22
Time Stop (1)|10E=4650
Time Stop (2)|10E=325
Time Stretch|10E=368
Traumatize|10E=413
Treasure Hunter|10E=9
Treetop Bracers (1)|10E=30
Treetop Bracers (2)|10E=20
Treetop Village (1)|10E=439
Treetop Village (2)|10E=81
Troll Ascetic (1)|10E=448
Troll Ascetic (2)|10E=76
True Believer (1)|10E=445
True Believer (2)|10E=172
Tundra Wolves (1)|10E=21
Tundra Wolves (2)|10E=39
Twincast|10E=377
Twitch|10E=17
Uncontrollable Anger (1)|10E=4
Uncontrollable Anger (2)|10E=18
Underground River|10E=549
Underworld Dreams|10E=672
Unholy Strength (1)|10E=5
Unholy Strength (2)|10E=73
Unsummon|10E=12
Upwelling (1)|10E=1352
Upwelling (2)|10E=138
Vampire Bats (1)|10E=9
Vampire Bats (2)|10E=61
Vedalken Mastermind|10E=38
Venerable Monk|10E=9
Verdant Force|10E=70
Viashino Runner|10E=47
Viashino Sandscout (1)|10E=25
Viashino Sandscout (2)|10E=59
Viridian Shaman|10E=10
Voice of All (1)|10E=21
Voice of All (2)|10E=411
Wall of Air (1)|10E=35
Wall of Air (2)|10E=139
Wall of Fire (1)|10E=8
Wall of Fire (2)|10E=58
Wall of Swords (1)|10E=64
Wall of Swords (2)|10E=14
Wall of Wood (1)|10E=14
Wall of Wood (2)|10E=81
Warp World|10E=64
Warrior's Honor|10E=5
Whispersilk Cloak (1)|10E=515
Whispersilk Cloak (2)|10E=1450
Wild Griffin (1)|10E=5
Wild Griffin (2)|10E=40
Windborn Muse (1)|10E=789
Windborn Muse (2)|10E=145
Wrath of God|10E=447
Wurm's Tooth|10E=16
Yavimaya Coast|10E=183
Yavimaya Enchantress|10E=16
Youthful Knight (1)|10E=44
Youthful Knight (2)|10E=8
Air Elemental|2ED=488
Ancestral Recall|2ED=284461
Animate Artifact|2ED=189
Animate Dead|2ED=3522
Animate Wall|2ED=2211
Ankh of Mishra|2ED=18452
Armageddon|2ED=11299
Aspect of Wolf|2ED=2483
Bad Moon|2ED=15296
Badlands|2ED=75000
Balance|2ED=7166
Basalt Monolith|2ED=2094
Bayou|2ED=48972
Benalish Hero|2ED=60
Berserk|2ED=9420
Birds of Paradise|2ED=29000
Black Knight|2ED=1141
Black Lotus|2ED=1675259
Black Vise|2ED=3196
Black Ward|2ED=313
Blaze of Glory|2ED=11535
Blessing|2ED=2060
Blue Elemental Blast|2ED=250
Blue Ward|2ED=216
Bog Wraith|2ED=442
Braingeyser|2ED=10656
Burrowing|2ED=181
Camouflage|2ED=974
Castle|2ED=245
Celestial Prism|2ED=162
Channel|2ED=612
Chaos Orb|2ED=112000
Chaoslace|2ED=998
Circle of Protection: Black|2ED=82
Circle of Protection: Blue|2ED=69
Circle of Protection: Green|2ED=71
Circle of Protection: Red|2ED=106
Circle of Protection: White|2ED=70
Clockwork Beast|2ED=1117
Clone|2ED=731
Cockatrice|2ED=3738
Consecrate Land|2ED=515
Conservator|2ED=364
Contract from Below|2ED=2150
Control Magic|2ED=1642
Conversion|2ED=211
Copper Tablet|2ED=6255
Copy Artifact|2ED=20999
Counterspell|2ED=5965
Craw Wurm|2ED=100
Creature Bond|2ED=53
Crystal Rod|2ED=265
Cursed Land|2ED=285
Cyclopean Tomb|2ED=13786
Dark Ritual|2ED=1332
Darkpact|2ED=2139
Death Ward|2ED=62
Deathgrip|2ED=236
Deathlace|2ED=1550
Demonic Attorney|2ED=1707
Demonic Hordes|2ED=4843
Demonic Tutor|2ED=9652
Dingus Egg|2ED=1678
Disenchant|2ED=352
Disintegrate|2ED=158
Disrupting Scepter|2ED=2975
Dragon Whelp|2ED=770
Drain Life|2ED=164
Drain Power|2ED=2834
Drudge Skeletons|2ED=97
Dwarven Demolition Team|2ED=531
Dwarven Warriors|2ED=93
Earth Elemental|2ED=295
Earthbind|2ED=983
Earthquake|2ED=5997
Elvish Archers|2ED=6407
Evil Presence|2ED=343
False Orders|2ED=178
Farmstead|2ED=1847
Fastbond|2ED=11260
Fear|2ED=69
Feedback|2ED=276
Fire Elemental|2ED=524
Fireball|2ED=287
Firebreathing|2ED=61
Flashfires|2ED=336
Flight|2ED=57
Fog|2ED=104
Force of Nature|2ED=4312
Forcefield|2ED=40097
Forest (1)|2ED=305
Forest (2)|2ED=287
Forest (3)|2ED=294
Fork|2ED=13750
Frozen Shade|2ED=52
Fungusaur|2ED=3985
Gaea's Liege|2ED=3994
Gauntlet of Might|2ED=52267
Giant Growth|2ED=168
Giant Spider|2ED=67
Glasses of Urza|2ED=464
Gloom|2ED=631
Goblin Balloon Brigade|2ED=759
Goblin King|2ED=5651
Granite Gargoyle|2ED=3062
Gray Ogre|2ED=49
Green Ward|2ED=228
Grizzly Bears|2ED=55
Guardian Angel|2ED=59
Healing Salve|2ED=69
Helm of Chatzuk|2ED=1274
Hill Giant|2ED=76
Holy Armor|2ED=52
Holy Strength|2ED=66
Howl from Beyond|2ED=53
Howling Mine|2ED=18500
Hurloon Minotaur|2ED=61
Hurricane|2ED=932
Hypnotic Specter|2ED=2967
Ice Storm|2ED=4780
Icy Manipulator|2ED=12438
Illusionary Mask|2ED=12899
Instill Energy|2ED=603
Invisibility|2ED=114
Iron Star|2ED=216
Ironclaw Orcs|2ED=86
Ironroot Treefolk|2ED=85
Island (1)|2ED=308
Island (2)|2ED=477
Island (3)|2ED=310
Island Sanctuary|2ED=4276
Ivory Cup|2ED=329
Jade Monolith|2ED=1032
Jade Statue|2ED=2024
Jayemdae Tome|2ED=15650
Juggernaut|2ED=1540
Jump|2ED=30
Karma|2ED=346
Keldon Warlord|2ED=716
Kormus Bell|2ED=2704
Kudzu|2ED=2473
Lance|2ED=301
Ley Druid|2ED=198
Library of Leng|2ED=1433
Lich|2ED=15435
Lifeforce|2ED=331
Lifelace|2ED=572
Lifetap|2ED=250
Lightning Bolt|2ED=1896
Living Artifact|2ED=1167
Living Lands|2ED=1564
Living Wall|2ED=946
Llanowar Elves|2ED=690
Lord of Atlantis|2ED=3250
Lord of the Pit|2ED=4108
Lure|2ED=573
Magical Hack|2ED=2925
Mahamoti Djinn|2ED=3473
Mana Flare|2ED=4997
Mana Short|2ED=2135
Mana Vault|2ED=19994
Manabarbs|2ED=3749
Meekstone|2ED=3639
Merfolk of the Pearl Trident|2ED=36
Mesa Pegasus|2ED=96
Mind Twist|2ED=12550
Mons's Goblin Raiders|2ED=65
Mountain (1)|2ED=261
Mountain (2)|2ED=176
Mountain (3)|2ED=223
Mox Emerald|2ED=246732
Mox Jet|2ED=284650
Mox Pearl|2ED=200139
Mox Ruby|2ED=241899
Mox Sapphire|2ED=320000
Natural Selection|2ED=7592
Nether Shadow|2ED=1933
Nettling Imp|2ED=599
Nevinyrral's Disk|2ED=15098
Nightmare|2ED=6500
Northern Paladin|2ED=3013
Obsianus Golem|2ED=248
Orcish Artillery|2ED=234
Orcish Oriflamme|2ED=188
Paralyze|2ED=133
Pearled Unicorn|2ED=92
Personal Incarnation|2ED=2449
Pestilence|2ED=340
Phantasmal Forces|2ED=302
Phantasmal Terrain|2ED=43
Phantom Monster|2ED=412
Pirate Ship|2ED=2051
Plague Rats|2ED=80
Plains (1)|2ED=385
Plains (2)|2ED=241
Plains (3)|2ED=275
Plateau|2ED=50398
Power Leak|2ED=95
Power Sink|2ED=106
Power Surge|2ED=2306
Prodigal Sorcerer|2ED=133
Psionic Blast|2ED=4282
Psychic Venom|2ED=81
Purelace|2ED=904
Raging River|2ED=17500
Raise Dead|2ED=100
Red Elemental Blast|2ED=802
Red Ward|2ED=142
Regeneration|2ED=44
Regrowth|2ED=1491
Resurrection|2ED=429
Reverse Damage|2ED=2054
Righteousness|2ED=1533
Roc of Kher Ridges|2ED=3558
Rock Hydra|2ED=4290
Rod of Ruin|2ED=222
Royal Assassin|2ED=14000
Sacrifice|2ED=1619
Samite Healer|2ED=52
Savannah|2ED=38245
Savannah Lions|2ED=18000
Scathe Zombies|2ED=94
Scavenging Ghoul|2ED=242
Scrubland|2ED=42844
Scryb Sprites|2ED=104
Sea Serpent|2ED=69
Sedge Troll|2ED=7314
Sengir Vampire|2ED=2524
Serra Angel|2ED=7028
Shanodin Dryads|2ED=53
Shatter|2ED=91
Shivan Dragon|2ED=25053
Simulacrum|2ED=664
Sinkhole|2ED=2048
Siren's Call|2ED=245
Sleight of Mind|2ED=1034
Smoke|2ED=2368
Sol Ring|2ED=10010
Soul Net|2ED=242
Spell Blast|2ED=93
Stasis|2ED=7875
Steal Artifact|2ED=341
Stone Giant|2ED=225
Stone Rain|2ED=232
Stream of Life|2ED=102
Sunglasses of Urza|2ED=3432
Swamp (1)|2ED=318
Swamp (2)|2ED=400
Swamp (3)|2ED=268
Swords to Plowshares|2ED=6055
Taiga|2ED=77000
Terror|2ED=273
The Hive|2ED=3197
Thicket Basilisk|2ED=422
Thoughtlace|2ED=1999
Throne of Bone|2ED=289
Timber Wolves|2ED=1600
Time Vault|2ED=86250
Time Walk|2ED=250000
Timetwister|2ED=327319
Tranquility|2ED=69
Tropical Island|2ED=61950
Tsunami|2ED=452
Tundra|2ED=64994
Tunnel|2ED=157
Twiddle|2ED=152
Two-Headed Giant of Foriys|2ED=6889
Underground Sea|2ED=76780
Unholy Strength|2ED=137
Unsummon|2ED=188
Uthden Troll|2ED=471
Verduran Enchantress|2ED=4732
Vesuvan Doppelganger|2ED=10969
Veteran Bodyguard|2ED=4183
Volcanic Eruption|2ED=1901
Volcanic Island|2ED=84750
Wall of Air|2ED=290
Wall of Bone|2ED=355
Wall of Brambles|2ED=223
Wall of Fire|2ED=244
Wall of Ice|2ED=197
Wall of Stone|2ED=314
Wall of Swords|2ED=483
Wall of Water|2ED=155
Wall of Wood|2ED=41
Wanderlust|2ED=142
War Mammoth|2ED=42
Warp Artifact|2ED=1553
Water Elemental|2ED=292
Weakness|2ED=70
Web|2ED=4997
Wheel of Fortune|2ED=60000
White Knight|2ED=1398
White Ward|2ED=139
Wild Growth|2ED=227
Will-o'-the-Wisp|2ED=3353
Winter Orb|2ED=14016
Wooden Sphere|2ED=362
Word of Command|2ED=28999
Wrath of God|2ED=18999
Zombie Master|2ED=2131
Abbot of Keral Keep (1)|2X2=75
Abbot of Keral Keep (2)|2X2=16
Abzan Ascendancy (1)|2X2=141
Abzan Ascendancy (2)|2X2=21
Abzan Charm|2X2=12
Abzan Falconer|2X2=18
Advanced Stitchwing|2X2=4
Aether Vial (1)|2X2=604
Aether Vial (2)|2X2=524
Aether Vial (3)|2X2=564
Aethermage's Touch|2X2=5
Aethersnipe|2X2=3
Agony Warp|2X2=5
Ainok Bond-Kin|2X2=4
Alesha, Who Smiles at Death (1)|2X2=149
Alesha, Who Smiles at Death (2)|2X2=20
Allosaurus Shepherd (1)|2X2=3526
Allosaurus Shepherd (2)|2X2=3148
Allosaurus Shepherd (3)|2X2=2904
Ambuscade|2X2=3
Aminatou, the Fateshifter (1)|2X2=1626
Aminatou, the Fateshifter (2)|2X2=341
Anger of the Gods (1)|2X2=115
Anger of the Gods (2)|2X2=69
Anger of the Gods (3)|2X2=49
Anguished Unmaking (1)|2X2=327
Anguished Unmaking (2)|2X2=766
Animar, Soul of Elements (1)|2X2=3974
Animar, Soul of Elements (2)|2X2=1442
Annoyed Altisaur|2X2=11
Anointer of Valor|2X2=3
Arachnus Spinner|2X2=17
Arachnus Web|2X2=9
Arjun, the Shifting Flame (1)|2X2=253
Arjun, the Shifting Flame (2)|2X2=30
As Foretold (1)|2X2=179
As Foretold (2)|2X2=477
Ashen Rider (1)|2X2=42
Ashen Rider (2)|2X2=269
Ashenmoor Liege (1)|2X2=179
Ashenmoor Liege (2)|2X2=34
Assassin's Trophy (1)|2X2=574
Assassin's Trophy (2)|2X2=589
Assassin's Trophy (3)|2X2=324
Atarka's Command (1)|2X2=287
Atarka's Command (2)|2X2=604
Atla Palani, Nest Tender (1)|2X2=774
Atla Palani, Nest Tender (2)|2X2=206
Auger Spree|2X2=2
Aurelia, the Warleader (1)|2X2=846
Aurelia, the Warleader (2)|2X2=1492
Aven Initiate|2X2=3
Azorius Chancery (1)|2X2=126
Azorius Chancery (2)|2X2=19
Backdraft Hellkite (1)|2X2=346
Backdraft Hellkite (2)|2X2=44
Balefire Liege (1)|2X2=247
Balefire Liege (2)|2X2=263
Balustrade Spy|2X2=5
Bant Charm|2X2=19
Battlefield Promotion|2X2=2
Bear's Companion|2X2=3
Bedlam Reveler (1)|2X2=120
Bedlam Reveler (2)|2X2=20
Biogenic Upgrade|2X2=7
Bitterblossom (1)|2X2=1602
Bitterblossom (2)|2X2=2646
Blazing Hellhound|2X2=6
Blood Artist (1)|2X2=246
Blood Artist (2)|2X2=141
Bloodbraid Elf (1)|2X2=13
Bloodbraid Elf (2)|2X2=9
Bloodflow Connoisseur|2X2=89
Bloodforged Battle-Axe (1)|2X2=324
Bloodforged Battle-Axe (2)|2X2=77
Bloodforged Battle-Axe (3)|2X2=250
Bloodwater Entity|2X2=8
Bloom Tender (1)|2X2=1818
Bloom Tender (2)|2X2=2206
Bloom Tender (3)|2X2=2332
Boartusk Liege (1)|2X2=41
Boartusk Liege (2)|2X2=106
Body Double|2X2=13
Boros Garrison (1)|2X2=157
Boros Garrison (2)|2X2=20
Bounty of the Luxa|2X2=9
Breakthrough|2X2=15
Brindle Shoat|2X2=3
Bring to Light (1)|2X2=368
Bring to Light (2)|2X2=39
Bring to Light (3)|2X2=58
Burning-Tree Emissary (1)|2X2=16
Burning-Tree Emissary (2)|2X2=10
Call to the Feast|2X2=6
Capture Sphere|2X2=2
Carrier Thrall|2X2=4
Cartel Aristocrat|2X2=3
Cavern of Souls (1)|2X2=4572
Cavern of Souls (2)|2X2=5072
Cavern of Souls (3)|2X2=4766
Centaur Battlemaster|2X2=2
Chaos Warp (1)|2X2=87
Chaos Warp (2)|2X2=494
Chaos Warp (3)|2X2=395
Child of Alara (1)|2X2=105
Child of Alara (2)|2X2=385
Chronicler of Heroes|2X2=3
City of Brass (1)|2X2=2305
City of Brass (2)|2X2=2054
City of Brass (3)|2X2=2931
Civic Saber|2X2=4
Coiling Oracle (1)|2X2=17
Coiling Oracle (2)|2X2=11
Coldsteel Heart|2X2=138
Conclave Mentor|2X2=33
Concordant Crossroads (1)|2X2=2600
Concordant Crossroads (2)|2X2=2023
Concordant Crossroads (3)|2X2=2567
Conqueror's Flail (1)|2X2=1235
Conqueror's Flail (2)|2X2=957
Consecrated Sphinx (1)|2X2=4144
Consecrated Sphinx (2)|2X2=4545
Consecrated Sphinx (3)|2X2=4059
Crackling Doom|2X2=65
Creakwood Liege (1)|2X2=298
Creakwood Liege (2)|2X2=565
Crucible of Worlds (1)|2X2=3107
